idade;sexo;p41aa;p41ab;p41ad;p41ae;p41af;p41ag;p41ah;p41ai;p41aj;p41ak;p41al;p41am;p41an;p41ao;p41ap;p42a;p42b;p42d;p42e;p42f;p42g;p42h;p42i;p42j;p42k;p42l;p42m;p42n;p42o;p42p;p43a;p43b;p43d;p43f;p43g;p43h;p43i;p43j;p43k;p43l;p43m;p43n;p43o;p43p;cor;carro;empreg;maqlav;dvd;banhe;gelad;freezer;comput;lavlou;microon;motocic;secadora;agua;rua;escola;renda;RCLASSE2;INV1p45a;INV1p45b;INV1p45c;INV1p45d;INV1p45e;INV1p45f;INV1p45g;INV1p45h;INV1p45i;INV1p45j;INV1p45k;INV1p45l;INV1p45m;INV1p45n;INV1p45o;INV1p45p;INV1p45q
26;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;1;96;1;96;1;1;96;96;96;96;96;96;1;1;3;1;5;5;5;6;5;5;5;6;5;2;5;5;5;2;5;5;5;2
36;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;10;9;0;10;10;10;10;0;0;0;0;6;0;10;10;2;1;1;2;2;1;2;2;2;2;2;2;1;1;3;96;96;96;96;1;1;96;96;96;96;96;96;2;1;3;1;6;5;5;5;5;5;5;6;6;5;6;5;5;2;5;5;5;5
16;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;3;4;0;0;0;2;2;1;0;0;2;0;0;10;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;96;96;96;1;2;1;1;96;96;1;1;1;2;2;4;99;5;5;6;5;2;5;5;4;5;6;6;5;6;2;6;4;5;4
19;1;1;1;1;1;2;2;1;1;2;1;1;2;1;1;2;10;10;10;10;10;10;10;8;9;10;10;10;9;10;10;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;96;96;1;2;2;3;96;1;96;1;96;1;1;1;4;1;3;5;5;6;6;1;5;6;5;1;5;5;6;1;6;5;5;6
52;2;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;4;5;6;7;5;3;4;6;7;5;5;5;4;5;4;2;2;2;2;2;2;2;2;2;2;1;2;2;2;3;96;96;96;1;1;1;1;96;96;1;96;96;1;1;4;1;5;5;5;5;5;6;6;5;5;5;5;5;6;2;6;6;6;5
22;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;2;3;3;3;0;3;3;3;3;3;3;3;5;5;8;10;2;2;2;2;2;2;2;2;2;2;2;2;1;1;3;96;96;1;1;1;1;96;2;96;96;96;96;1;1;4;1;5;5;6;6;6;3;5;4;4;6;6;4;4;1;6;4;4;1
17;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4;3;1;3;4;5;0;4;5;4;0;4;4;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;1;96;1;2;1;1;96;1;96;96;96;96;2;2;4;1;5;5;6;6;2;6;5;6;6;2;3;6;6;1;5;5;5;1
47;1;1;1;2;1;1;2;1;1;2;1;1;1;2;1;1;2;8;0;10;1;2;1;5;1;4;4;10;4;3;7;2;2;2;2;2;2;2;2;2;2;2;2;2;1;3;96;96;96;1;2;96;96;96;96;96;96;96;1;1;4;2;6;5;5;6;5;5;4;6;5;4;5;5;6;4;6;5;5;5
16;1;2;1;1;1;2;1;2;1;1;1;1;1;1;1;2;5;5;0;5;7;7;0;5;7;10;10;6;5;5;10;2;2;2;2;2;2;2;2;2;2;2;2;2;1;3;96;96;96;1;1;1;96;96;96;96;1;96;1;98;4;1;6;5;5;5;6;5;5;6;6;5;5;6;5;5;5;5;6;6
16;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;5;0;0;0;0;3;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;1;96;1;3;2;1;1;3;96;1;1;96;1;1;4;1;2;5;5;5;2;4;5;6;5;5;6;5;5;5;4;5;6;2
17;1;1;1;1;1;1;1;1;1;1;2;2;1;1;1;1;2;8;2;2;2;2;2;2;6;2;2;6;2;4;4;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;96;96;1;3;2;2;1;1;96;1;1;96;1;1;4;1;3;5;6;5;5;2;5;5;2;1;5;5;6;2;1;5;6;5
53;1;1;1;1;1;2;1;2;1;2;1;2;1;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;1;2;2;2;2;1;1;3;96;96;1;1;1;1;96;1;96;96;1;96;1;1;4;1;5;5;5;5;6;5;6;5;4;5;6;5;5;1;5;5;5;1
21;1;1;1;1;1;1;1;2;1;1;1;2;1;1;1;1;7;8;4;10;10;10;10;4;10;5;4;10;10;8;0;2;2;2;2;2;2;2;2;1;2;2;2;2;2;5;96;96;96;96;1;1;96;96;96;96;1;96;1;2;4;1;6;5;3;6;6;1;5;3;6;4;6;6;3;1;6;5;6;4
40;1;1;2;1;1;2;2;2;2;2;1;2;1;2;2;2;2;1;0;0;0;0;0;0;0;2;0;5;0;2;8;2;2;2;2;2;2;2;2;2;2;2;2;2;1;3;96;96;1;1;1;1;1;1;96;1;96;1;2;1;5;2;4;5;5;5;2;2;5;1;5;2;6;5;5;2;4;5;5;2
63;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;96;96;96;96;1;1;96;1;96;96;96;96;1;1;5;97;5;5;6;6;1;1;6;5;4;6;6;3;3;1;1;5;1;4
61;1;2;1;2;1;1;2;2;1;2;2;2;2;2;2;2;1;4;0;4;4;1;0;4;2;0;1;5;1;1;5;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;96;96;96;1;1;1;1;96;96;1;96;96;1;1;5;1;5;5;4;5;5;5;5;6;5;5;5;6;6;6;5;6;5;5
45;2;1;2;2;1;1;1;1;1;1;2;2;2;1;1;2;6;2;1;3;6;7;8;7;5;3;2;1;5;8;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;96;96;96;96;1;1;96;96;96;96;96;96;1;1;5;1;6;5;4;6;4;4;4;4;6;6;6;5;6;2;5;5;5;4
57;1;1;1;2;2;1;1;2;1;1;2;2;1;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;96;96;1;96;1;1;96;1;96;96;96;96;1;1;5;1;5;5;5;5;4;5;5;2;5;6;6;5;6;4;5;5;5;4
30;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;8;10;3;10;5;7;9;10;10;7;7;8;5;6;5;2;2;2;2;2;2;2;2;2;2;1;2;1;1;3;96;96;1;1;1;1;96;96;96;96;96;96;2;1;5;1;6;5;6;5;5;6;5;2;5;5;6;4;5;1;5;5;5;2
49;2;1;1;2;1;2;1;1;1;1;2;2;1;1;1;1;7;9;0;4;4;9;9;5;9;0;1;10;7;9;9;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;96;96;1;1;1;1;1;96;96;1;96;1;2;1;5;3;5;5;6;5;1;4;5;6;5;3;6;5;6;1;4;4;4;2
